Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
Locked Out of Heaven,Bruno Mars,pop,2012,73,70,87,5,79
Paradise,Coldplay,permanent wave,2012,45,59,20,5,79
Payphone,Maroon 5,pop,2012,74,75,55,2,79
What Makes You Beautiful,One Direction,boy band,2012,73,79,89,1,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,62,47,68,0,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,78,58,66,1,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,86,68,92,8,76
Set Fire to the Rain,Adele,british soul,2012,61,68,47,0,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,63,68,75,1,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,56,94,68,5,74
Try,P!nk,dance pop,2012,67,63,55,0,74
Starships,Nicki Minaj,dance pop,2012,75,72,75,14,73
One More Night,Maroon 5,pop,2012,72,82,62,6,73
Good Time,Owl City,pop,2012,56,87,68,2,73
Glad You Came,The Wanted,boy band,2012,72,85,45,3,72
Beauty And A Beat,Justin Bieber,canadian pop,2012,60,84,53,0,72
International Love,Pitbull,dance pop,2012,67,86,65,1,72
Some Nights,fun.,baroque pop,2012,67,74,39,2,72
Boyfriend,Justin Bieber,canadian pop,2012,72,55,33,4,71
Part Of Me,Katy Perry,dance pop,2012,68,92,77,0,71
Domino,Jessie J,australian pop,2012,76,55,78,1,69
Where Have You Been,Rihanna,barbadian pop,2012,72,85,44,0,68
Wide Awake,Katy Perry,dance pop,2012,51,68,57,7,68
The One That Got Away,Katy Perry,dance pop,2012,69,80,88,0,67
Dance Again,Jennifer Lopez,dance pop,2012,79,86,71,2,66
Turn Up the Music,Chris Brown,dance pop,2012,59,84,64,0,65
Lights - Single Version,Ellie Goulding,dance pop,2012,68,80,78,3,65
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,38,64,74,2,63
Diamonds,Rihanna,barbadian pop,2012,56,71,39,0,61
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,72,96,95,1,59
You Da One,Rihanna,barbadian pop,2012,70,72,86,50,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,65,80,80,3,54
It Will Rain,Bruno Mars,pop,2012,58,84,48,34,38
Blow Me (One Last Kiss),P!nk,dance pop,2012,60,92,75,0,0
Underneath the Tree,Kelly Clarkson,dance pop,2013,51,81,69,0,88
Wake Me Up,Avicii,big room,2013,53,78,64,0,85
Story of My Life,One Direction,boy band,2013,60,66,29,23,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,78,55,44,35,81
Hall of Fame,The Script,celtic rock,2013,42,87,63,7,80
Roar,Katy Perry,dance pop,2013,55,77,46,0,78
We Can't Stop,Miley Cyrus,dance pop,2013,61,62,48,1,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,61,84,44,11,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,79,81,86,4,77
Wrecking Ball,Miley Cyrus,dance pop,2013,53,42,35,41,77
Impossible,James Arthur,pop,2013,38,70,30,14,77
Blurred Lines,Robin Thicke,dance pop,2013,85,60,84,0,76
Heart Attack,Demi Lovato,dance pop,2013,50,79,50,7,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,63,68,75,1,75
Die Young,Kesha,dance pop,2013,71,70,80,0,75
Clarity,Zedd,complextro,2013,51,78,18,4,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,57,81,11,2,74
Under Control,Calvin Harris,dance pop,2013,54,92,51,13,74
Everybody Talks,Neon Trees,indie pop,2013,47,92,73,0,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,77,41,29,0,73
Best Song Ever,One Direction,boy band,2013,65,88,49,2,73
Kiss You,One Direction,boy band,2013,63,93,91,2,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,57,93,58,20,72
Lose Yourself to Dance,Daft Punk,electro,2013,83,66,67,8,72
Work Bitch,Britney Spears,dance pop,2013,63,82,85,16,71
Brave,Sara Bareilles,acoustic pop,2013,55,84,76,1,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,63,93,88,3,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,67,76,54,4,70
Beneath Your Beautiful,Labrinth,pop,2013,56,52,23,23,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,66,68,25,25,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,78,53,66,6,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,52,75,16,26,69
The Way,Ariana Grande,dance pop,2013,65,88,86,29,68
Suit & Tie,Justin Timberlake,dance pop,2013,80,60,36,10,68
#thatPOWER,will.i.am,dance pop,2013,80,61,40,0,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,71,91,82,1,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,72,87,68,4,67
Daylight,Maroon 5,pop,2013,66,67,37,0,66
Love Somebody,Maroon 5,pop,2013,68,78,40,13,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,76,62,52,1,65
Move,Little Mix,dance pop,2013,85,74,77,0,63
Walks Like Rihanna,The Wanted,boy band,2013,56,82,43,1,62
Rock N Roll,Avril Lavigne,canadian pop,2013,47,96,67,1,61
Heartbreaker,Justin Bieber,canadian pop,2013,56,52,58,14,61
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,58,60,65,14,60
Next To Me,Emeli Sandé,dance pop,2013,67,80,35,9,60
Made In The USA,Demi Lovato,dance pop,2013,58,86,59,0,60
Clown,Emeli Sandé,dance pop,2013,45,23,23,92,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,55,81,34,9,59
TKO,Justin Timberlake,dance pop,2013,61,68,49,1,58
Come & Get It,Selena Gomez,dance pop,2013,55,79,58,1,57
Live It Up,Jennifer Lopez,dance pop,2013,69,73,65,1,57
We Own The Night,The Wanted,boy band,2013,55,94,56,1,56
Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,2013,28,45,11,63,55
What About Love,Austin Mahone,dance pop,2013,63,78,28,0,54
Take Back the Night,Justin Timberlake,dance pop,2013,59,66,33,4,54
Applause,Lady Gaga,dance pop,2013,67,78,73,3,52
